Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
110,Eric Dawson,C,27,SAS,4,39,14.6,0.582,0,0.167,15,14.4,14.7,0,1.3,3.7,18.9,18.6,,0,0.1,0.1,0.106,,-3.3,-2.6,-5.9,0
111,Austin Daye,SF,23,DET,41,603,7.1,0.394,0.273,0.189,2.7,15.8,9,9.2,2,2.8,14,21.9,,-1.3,0.6,-0.6,-0.05,,-5.6,-0.3,-5.9,-0.6
112,Carlos Delfino,SF,29,MIL,54,1537,11.7,0.515,0.528,0.106,1.4,13.9,7.5,11.9,2.6,0.5,12.2,15.5,,0.8,1.6,2.4,0.075,,0.1,0.6,0.7,1.1
113,Luol Deng,SF,26,CHI,54,2129,14.1,0.5,0.285,0.219,4.1,14,9.2,11.7,1.4,1.2,10.4,19.8,,2.3,3.6,5.8,0.132,,0.5,1.6,2.1,2.2
114,Justin Dentmon,PG,26,TOT,6,91,4.8,0.424,0.5,0.214,0,10.2,5.1,18,1.2,0,18.6,19.4,,-0.2,0.1,-0.1,-0.049,,-4.4,-2.4,-6.8,-0.1
114,Justin Dentmon,PG,26,SAS,2,19,1.6,0.333,0.667,0,0,5.9,3,7.4,2.7,0,14.3,16.8,,-0.1,0,0,-0.09,,-5.2,-1.1,-6.3,0
114,Justin Dentmon,PG,26,TOR,4,72,5.7,0.446,0.455,0.273,0,11.3,5.7,20.9,0.7,0,19.6,20.1,,-0.1,0,-0.1,-0.039,,-4.1,-2.8,-6.9,-0.1
115,DeMar DeRozan,SG,22,TOR,63,2206,12.8,0.503,0.102,0.367,2.1,9,5.6,10.8,1.2,0.6,10.5,25,,1.1,1.4,2.5,0.054,,-1.4,-1.5,-2.8,-0.5
116,Boris Diaw,PF,29,TOT,57,1424,11.2,0.498,0.282,0.1,5.5,17.3,11.3,23.8,1.2,1.3,23.4,15.5,,-0.3,0.8,0.6,0.019,,-1.5,0.5,-1.1,0.3
116,Boris Diaw,PF,29,CHA,37,1018,10.8,0.461,0.304,0.095,5.1,17.3,11,26.9,1,1.4,22.2,17.2,,-0.8,0.3,-0.5,-0.023,,-2.2,-0.4,-2.6,-0.2
